cand_id,last_name,first_name,twitterbirth,twitter,facebookdate,facebook,facebookjan,youtubebirth,youtube,cand_ici,cand_pty_affiliation,ttl_receipts,trans_from_auth,ttl_disb,trans_to_auth,coh_bop,coh_cop,cand_contrib,cand_loans,other_loans,cand_loan_repay,other_loan_repay,debts_owed_by,ttl_indiv_contrib,other_pol_cmte_contrib,pol_pty_contrib,indiv_refunds,cmte_refunds,opp_fund,age,gender,gen_election
H8CA41113,MEAGHER,PATRICK HAROLD,NA,0,NA,0,0,NA,0,C,DEM,48278.52,0,48418.031,0,131.53,-7.98,5956.6201,9133.7305,0,5558.25,0,3575.48,25583.199,6934.75,500,0,0,688155.06,75,M,L
H8IL12079,JENNINGS,RODGER W.,NA,0,NA,0,0,NA,0,C,GRE,445,0,249,0,138,277,0,0,0,0,0,0,445,0,0,0,0,1398240.4,60,M,L
H0VA08149,MURRAY,J PATRICK,NA,0,NA,0,0,NA,0,C,REP,446468.16,0,442922.5,0,0,7120.6802,6872.5298,35000,0,0,0,45000,373778.63,29417.01,1400,200,0,1312116.6,64,M,L
H6TX15113,ZAMORA,EDDIE,NA,0,NA,0,0,NA,0,C,REP,87768,0,83938.883,0,754.66998,-12456.34,3330,0,0,0,0,0,84338,100,0,0,0,609897.94,69,M,L
H0AK00089,CRAWFORD,HARRY T JR,2/21/14,0,10/20/09,1,1,NA,0,C,DEM,240439.23,0,235571.44,0,0,4867.8101,5832.4102,0,0,0,0,5000,214136.59,14200,1749.99,850,500,1001015.4,76,M,L
H0FL07077,BEAVEN,HEATHER MAURINE,NA,0,NA,0,0,NA,0,C,DEM,239084.08,0,235849.91,0,0,2707.8401,0,0,0,0,0,49.540001,198615.66,34700,5000,350,0,1205985.1,66,M,L
H0MI04090,CAMPBELL,JERRY MELVIN,NA,0,NA,0,0,NA,0,C,DEM,15881,0,15880,0,0,0,2799,0,0,0,0,0,5734,3000,4348,0,0,3051807.8,56,M,L
H0OH06197,CADLE,RICHARD E,NA,0,NA,0,0,NA,0,C,CST,15039,0,15039,0,0,0,9789,0,0,0,0,0,5250,0,0,2103,0,1758115.4,66,M,L
H0MA01065,GUNN,WILLIAM LESLIE JR,NA,0,NA,0,0,NA,0,C,REP,60341.512,0,53347.988,0,0,6993.52,566,0,0,0,0,0,55218.738,2750,1625,125,0,883888,73,M,L
H0VT00106,BEAUDRY,PAUL,NA,0,NA,0,0,NA,0,C,REP,32733.381,0,31279.35,0,0,1453.87,983.19,0,0,0,0,1373.2,31750.189,0,0,25,0,1027180.6,62,M,L
